                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.50657,                0.30221,                 1.0185,                0.99945,                    0.5,                 0.4975,                0.42203,                0.66781,                0.36477,                 1.1868,             0.00069313,             0.00069313,             0.00069313
                    137,                0.47218,                0.29138,                 1.0089,                0.99946,                    0.5,                 0.4975,                0.43076,                0.64393,                0.39388,                 1.1114,               0.000689,               0.000689,               0.000689
                    138,                0.48686,                0.30123,                 1.0141,                0.99035,                    0.5,                 0.4975,                0.42071,                0.65905,                 0.3497,                 1.1302,             0.00068488,             0.00068488,             0.00068488
                    139,                0.50671,                0.29089,                 1.0255,                0.99035,                    0.5,                 0.4975,                0.43262,                0.67358,                0.37079,                   1.16,             0.00068075,             0.00068075,             0.00068075
                    140,                0.49813,                0.29317,                 1.0276,                0.99665,                    0.5,                 0.4975,                0.41849,                0.74002,                0.40507,                 1.2434,             0.00067663,             0.00067663,             0.00067663
                    141,                0.50594,                0.30554,                 1.0208,                0.99946,                    0.5,                 0.4975,                0.41705,                0.68966,                0.38587,                 1.1688,              0.0006725,              0.0006725,              0.0006725
                    142,                0.46631,                0.27816,                 1.0002,                0.99945,                    0.5,                 0.4975,                0.42411,                0.63788,                0.39128,                 1.1284,             0.00066838,             0.00066838,             0.00066838
                    143,                0.47762,                0.28991,                 1.0066,                0.99604,                    0.5,                 0.4975,                0.43122,                0.63965,                0.35616,                 1.1489,             0.00066425,             0.00066425,             0.00066425
                    144,                0.47956,                0.30031,                 1.0175,                0.99942,                    0.5,                 0.4975,                0.42435,                0.63667,                0.32214,                 1.1271,             0.00066013,             0.00066013,             0.00066013
                    145,                 0.4741,                0.28679,                 1.0099,                0.99944,                    0.5,                 0.4975,                 0.4294,                0.66095,                0.33635,                 1.1508,               0.000656,               0.000656,               0.000656
                    146,                0.47694,                 0.2897,                 1.0058,                0.99971,                    0.5,                 0.4975,                0.42931,                0.63585,                0.33291,                 1.1194,             0.00065188,             0.00065188,             0.00065188
                    147,                0.48588,                0.28198,                 1.0101,                0.99949,                    0.5,                 0.4975,                0.41624,                0.71573,                0.35962,                 1.2217,             0.00064775,             0.00064775,             0.00064775
                    148,                0.45859,                0.27274,                 1.0046,                0.98831,                    0.5,                 0.4975,                0.42563,                0.67906,                0.33945,                 1.1729,             0.00064362,             0.00064362,             0.00064362
                    149,                0.46838,                0.27465,                0.99568,                0.99015,                    0.5,                 0.4975,                0.41602,                0.68817,                0.38694,                 1.2243,              0.0006395,              0.0006395,              0.0006395
